排名,车型,销量,厂商,售价(万元)
47,秦新能源,47999,比亚迪,12.99 - 20.99
48,欧拉黑猫,46774,长城新能源,6.98 - 8.48
49,远景,46664,吉利汽车,4.99 - 7.39
50,Aion S,46091,广汽埃安,13.98 - 20.58
51,迈锐宝,45662,上汽通用雪佛兰,16.49 - 18.99
52,Polo,45071,上汽大众,9.99 - 12.39
53,凯迪拉克CT5,45026,通用凯迪拉克,27.97 - 34.17
54,奥迪A3,43166,一汽-大众奥迪,19.32 - 26.85
55,享域,42584,东风本田,9.98 - 16.69
56,伊兰特,42550,北京现代,9.98 - 14.18
57,捷达VA3,42376,一汽-大众捷达,6.58 - 9.28
58,奇瑞QQ,39387,奇瑞汽车,3.79 - 5.09
59,科沃兹,39261,上汽通用雪佛兰,7.99 - 9.99
60,宝马1系,39243,华晨宝马,19.88 - 26.38
61,瑞纳,38345,北京现代,4.99 - 7.39
62,焕驰,36877,东风悦达起亚,6.49 - 6.89
63,阿特兹,34808,一汽马自达,17.58 - 24.78
64,福克斯,34507,长安福特,10.88 - 15.38
65,福睿斯,33049,长安福特,8.08 - 11.68
66,启辰D60,31864,东风启辰,6.98 - 9.88
67,昕锐,29956,上汽斯柯达,7.79 - 9.99
68,一汽-大众CC,28428,一汽-大众,24.68 - 30.18
69,起亚K3,28289,东风悦达起亚,10.88 - 13.18
70,菲斯塔,28280,北京现代,11.98 - 15.48
71,明锐,27974,上汽斯柯达,9.99 - 16.14
72,新宝骏RC-5,27799,上汽通用五菱,5.98 - 11.28
73,睿骋CC,27503,长安汽车,0.00 - 0.00
74,荣威i6,27369,上汽集团,8.98 - 13.98
75,YARiS L 致享,25436,广汽丰田,7.98 - 10.58
76,沃尔沃S60,24883,沃尔沃亚太,28.69 - 38.09
77,蒙迪欧,24632,长安福特,19.28 - 27.98
78,嘉悦A5,24589,江淮汽车,8.48 - 11.58
79,宝骏310,23913,上汽通用五菱,3.68 - 6.08
80,宝骏E100,23659,上汽通用五菱,4.98 - 5.98
81,赛欧,22795,上汽通用雪佛兰,6.29 - 7.99
82,悦纳,22199,北京现代,0.00 - 9.68
83,威驰FS,22135,一汽丰田,7.18 - 10.78
84,凯迪拉克CT6,21691,通用凯迪拉克,37.97 - 48.97
85,传祺GA8,20584,广汽乘用车,15.68 - 22.68
86,福瑞迪,20094,东风悦达起亚,7.88 - 10.28
87,名图,19649,北京现代,13.38 - 16.98
88,比亚迪e2,19616,比亚迪,8.98 - 14.48
89,星瑞,19094,吉利汽车,11.37 - 14.97
90,绅宝D50,18870,BEIJING汽车,6.99 - 9.99
91,名爵5,18676,上汽名爵,6.79 - 10.49
92,K5凯酷,18072,东风悦达起亚,16.18 - 20.58
93,金牛座,18057,长安福特,22.89 - 28.89
94,宝马5系新能源,17951,华晨宝马,49.99 - 53.69
95,沃尔沃S90,17249,沃尔沃亚太,37.29 - 50.59
96,威朗,16929,上汽通用别克,15.29 - 18.29
97,帕萨特新能源,16923,上汽大众,24.39 - 25.39
98,秦,16599,比亚迪,6.49 - 8.19
99,悦翔,16374,长安汽车,4.99 - 6.79
100,名爵3,16146,上汽名爵,0.00 - 0.00
101,蓝鸟,15931,东风日产,9.59 - 13.39
102,启悦,15353,长安铃木,7.89 - 10.99
103,索纳塔九,15249,北京现代,0.00 - 0.00
104,逸动DT,14682,长安汽车,5.29 - 8.09
105,逸动新能源,13703,长安汽车,12.99 - 13.99
106,红旗H9,13539,一汽红旗,30.98 - 53.98
107,宝骏E200,13138,上汽通用五菱,5.48 - 6.48
108,北汽新能源EU,12961,北汽新能源,7.98 - 7.98
109,秦Pro,12438,比亚迪,7.98 - 11.59
110,捷豹XEL,12307,奇瑞捷豹路虎,28.98 - 38.06
111,科莱威CLEVER,11671,上汽集团,4.60 - 6.00
112,微蓝6,11420,上汽通用别克,15.98 - 19.98
113,奔奔,11266,长安汽车,0.00 - 0.00
114,沃兰多,10777,上汽通用雪佛兰,11.49 - 15.99
115,比亚迪F3,10338,比亚迪,4.49 - 5.08
116,辉昂,10085,上汽大众,34.00 - 63.90
117,帝豪新能源,9693,吉利新能源,13.58 - 15.98
118,红旗H7,9367,一汽红旗,25.28 - 31.78
119,新宝骏E300,9301,上汽通用五菱,6.48 - 8.48
120,新宝骏RC-6,9039,上汽通用五菱,8.48 - 12.38
121,荣威i6新能源,9026,上汽集团,14.78 - 20.18
122,英菲尼迪Q50L,8979,东风英菲尼迪,26.48 - 38.98
123,标致408,8872,东风标致,11.77 - 16.97
124,速派,8328,上汽斯柯达,15.49 - 22.99
125,传祺GA6,7800,广汽乘用车,10.88 - 16.88
126,奥迪A6L新能源,6940,一汽-大众奥迪,50.80 - 50.80
127,卡罗拉双擎E+,6893,一汽丰田,20.78 - 23.08
128,广汽丰田iA5,6828,广汽丰田新能源,16.98 - 19.28
129,欧拉白猫,6651,长城新能源,7.18 - 8.88
130,启辰D60EV,6622,东风启辰,15.01 - 17.88
131,北斗星,6205,昌河铃木,4.20 - 4.40
132,宝来·纯电,6045,一汽-大众,13.68 - 14.68
133,宝骏630,5952,上汽通用五菱,0.00 - 0.00
134,迈腾新能源,5617,一汽-大众,25.39 - 26.89
135,捷豹XFL,5595,奇瑞捷豹路虎,37.58 - 57.88
136,奇瑞E3,5177,奇瑞汽车,0.00 - 0.00
137,昕动,5169,上汽斯柯达,7.79 - 10.99
138,北汽新能源EC,5148,北汽新能源,5.58 - 5.58
139,爱丽舍,5034,东风雪铁龙,8.38 - 10.28
140,标致508,4994,东风标致,15.97 - 22.57
141,几何A,4913,几何汽车,15.00 - 19.00
142,东风风神E70,4715,东风乘用车,13.58 - 15.98
143,雷凌双擎E+,4322,广汽丰田,20.38 - 21.88
144,博瑞,4305,吉利汽车,13.68 - 17.98
145,锋范,4077,广汽本田,0.00 - 0.00
146,轩逸·纯电,4045,东风日产,23.80 - 25.40
147,思皓A5,3544,江汽集团,7.88 - 11.58
148,VELITE 5,3513,上汽通用别克,0.00 - 0.00
149,凯越,3133,上汽通用别克,8.39 - 9.99
150,零跑T03,2981,零跑汽车,5.98 - 7.58
151,比亚迪e3,2820,比亚迪,10.38 - 16.48
152,易至EV3,2704,江铃集团新能源,6.68 - 8.38
153,奔腾B30EV,2538,一汽奔腾,18.98 - 18.98
154,蒙迪欧新能源,2510,长安福特,0.00 - 0.00
155,朗逸纯电,2507,上汽大众,14.89 - 14.89
156,和悦A30,2496,江淮汽车,0.00 - 0.00
157,R汽车 ER6,2415,上汽集团,16.28 - 20.08
158,艾瑞泽5e,2401,奇瑞新能源,15.98 - 15.98
159,中华H330,2352,华晨中华,0.00 - 0.00
160,传祺GA4,2341,广汽乘用车,7.38 - 11.58
161,东南A5翼舞,2053,东南汽车,4.99 - 7.89
162,尼欧Ⅱ,1952,长安汽车,3.99 - 10.08
163,皇冠,1927,一汽丰田,25.08 - 37.48
164,江淮iEV6E,1830,江淮汽车,5.95 - 7.55
165,比亚迪e1,1771,比亚迪,5.99 - 7.99
166,奔腾B70,1745,一汽奔腾,0.00 - 0.00
167,索纳塔插电混动,1735,北京现代,22.28 - 25.68
168,奔腾B30,1690,一汽奔腾,8.68 - 8.68
169,奕炫,1617,东风乘用车,6.99 - 10.09
170,长城C30,1607,长城汽车,0.00 - 0.00
171,雪铁龙C6,1573,东风雪铁龙,18.99 - 27.59
172,起亚K2,1493,东风悦达起亚,7.29 - 10.39
173,风云2,1440,奇瑞汽车,0.00 - 0.00
174,北汽昌河A6,1419,北汽昌河,5.98 - 9.98
175,江淮iEV,1407,江淮汽车,0.00 - 0.00
176,风行S50EV,1402,东风风行,13.99 - 24.07
177,奇瑞eQ1,1304,奇瑞新能源,5.98 - 7.88
178,BEIJING-U7,1297,BEIJING汽车,8.79 - 12.29
179,江淮iEVA50,1195,江淮汽车,13.95 - 14.55
